Classe;CODIGO;NOME;NOME_ABREV;Pes;Tipo
Saldo;20599;Saldo - Pessoas jurídicas - Financiamento imobiliário com taxas reguladas;SALDO_PJ_FINIMOBREGULADAS;PJ;Direcionado
Saldo;20601;Saldo - Pessoas jurídicas - Capital de giro com recursos do BNDES;SALDO_PJ_CAPGIR_BNDES;PJ;Direcionado
Saldo;20602;Saldo - Pessoas jurídicas - Financiamento de investimentos com recursos do BNDES;SALDO_PJ_FININVRECBNDES;PJ;Direcionado
Saldo;20603;Saldo - Pessoas jurídicas - Financiamento agroindustrial com recursos do BNDES;SALDO_PJ_FINAGRRECBNDES;PJ;Direcionado
Saldo;20605;Saldo - Pessoas jurídicas - Outros créditos direcionados;SALDO_PJ_OUTROSDIRECIONADOS;PJ;Direcionado
Saldo;20610;Saldo - Pessoas físicas - Financiamento imobiliário com taxas de mercado;SALDO_PF_FINIMOBMERCADO;PF;Direcionado
Saldo;20607;Saldo - Pessoas físicas - Crédito rural com taxas de mercado;SALDO_PF_CRDRURMERCADO;PF;Direcionado
Saldo;20608;Saldo - Pessoas físicas - Crédito rural com taxas reguladas;SALDO_PF_CRDRURREGULADAS;PF;Direcionado
Saldo;20611;Saldo - Pessoas físicas - Financiamento imobiliário com taxas reguladas;SALDO_PF_FINIMOBREGULADAS;PF;Direcionado
Saldo;20613;Saldo - Pessoas físicas - Capital de giro com recursos do BNDES;SALDO_PF_CAPGIR_BNDES;PF;Direcionado
Saldo;20614;Saldo - Pessoas físicas - Financiamento de investimentos com recursos do BNDES;SALDO_PF_FININVRECBNDES;PF;Direcionado
Saldo;20615;Saldo - Pessoas físicas - Financiamento agroindustrial com recursos do BNDES;SALDO_PF_FINAGRRECBNDES;PF;Direcionado
Saldo;20617;Saldo - Pessoas físicas - Microcrédito destinado a consumo;SALDO_PF_MICCONSUMO;PF;Direcionado
Saldo;20618;Saldo - Pessoas físicas - Microcrédito destinado a microempreendedores;SALDO_PF_MICMICROEMPREENDEDOR;PF;Direcionado
Saldo;20621;Saldo - Pessoas físicas - Outros créditos direcionados;SALDO_PF_OUTROSDIRECIONADOS;PF;Direcionado
Saldo;20606;Saldo - Pessoas físicas - Recurso Direcionado - Total;SALDO_PF_RD_TOTAL;PF;Direcionado
Saldo;20594;Saldo - Pessoas jurídicas - Recurso Direcionado - Total;SALDO_PJ_RD_TOTAL;PJ;Direcionado
Saldo;20593;Saldo - Total Direcionado;SALDO_RD_TOTAL;TT;Direcionado
Saldo;20544;Saldo - Pessoas jurídicas - Desconto de duplicatas e recebíveis;SALDO_PJ_DESDUPLICATAS;PJ;Livre
Saldo;20545;Saldo - Pessoas jurídicas - Desconto de cheques;SALDO_PJ_DESCHEQUES;PJ;Livre
Saldo;20546;Saldo - Pessoas jurídicas - Antecipação de faturas de cartão de crédito;SALDO_PJ_ANTFATCARCREDITO;PJ;Livre
Saldo;20547;Saldo - Pessoas jurídicas - Capital de giro com prazo de até 365 dias;SALDO_PJ_CAPGIRPRZATE365;PJ;Livre
